"company_name","company_img"
"ScriptPad","https://s3.amazonaws.com/photos.angel.co/startups/i/979-04b4925d175267705c14ddb04efc173a-medium_jpg.jpg?buster=1318013731"
"SendHub","https://s3.amazonaws.com/photos.angel.co/startups/i/21042-dde51249b559a67e46c013acb1e2168d-medium_jpg.jpg?buster=1373686486"
"Shippable","https://s3.amazonaws.com/photos.angel.co/startups/i/162112-a54069e69c1c76a72e4335afd40be7a5-medium_jpg.jpg?buster=1384755263"
"Sift","https://s3.amazonaws.com/photos.angel.co/startups/i/75722-d7f7618a9da5af4db1d45d6efca21bfb-medium_jpg.jpg?buster=1342116594"
"Simperium","https://s3.amazonaws.com/photos.angel.co/startups/i/34103-dbf52bbebf96cf6300fd3d8a32e87001-medium_jpg.jpg?buster=1326844190"
"Simplee","https://s3.amazonaws.com/photos.angel.co/startups/i/53715-22a37141cd6c4ce3be026c3497644201-medium_jpg.jpg?buster=1336589824"
"SmartAsset","https://s3.amazonaws.com/photos.angel.co/startups/i/85122-c742a92e24a483c4037d5ad2ec4070cb-medium_jpg.jpg?buster=1335286337"
"Snapjoy","https://s3.amazonaws.com/photos.angel.co/startups/i/53145-e30a9adbf809000def7e3955038a952f-medium_jpg.jpg?buster=1349165643"
"Snaptalent","https://s3.amazonaws.com/photos.angel.co/startups/i/36043-aedbd0f430cb99267c392eb3cb16931f-medium_jpg.jpg?buster=1326845614"
"Songkick","https://s3.amazonaws.com/photos.angel.co/startups/i/32452-96d8910b8e8a994ff3510ad6493c9428-medium_jpg.jpg?buster=1349863099"
"Sportlyzer","https://s3.amazonaws.com/photos.angel.co/startups/i/2198-1833c62fd5b85f9e62f2a3c8229cff84-medium_jpg.jpg?buster=1315741517"
"SpotMe","https://s3.amazonaws.com/photos.angel.co/startups/i/169960-6ef37e21fc7915adb3f643bfaa29ad49-medium_jpg.jpg?buster=1386691859"
"Sproutling","https://s3.amazonaws.com/photos.angel.co/startups/i/78769-fe8f3e4e6f3f15094e84d031d6059a55-medium_jpg.jpg?buster=1376448956"
"Survata","https://s3.amazonaws.com/photos.angel.co/startups/i/182277-41f305e6f5c5e8c468a1567f8ce4a68d-medium_jpg.jpg?buster=1363210065"
"Swiftype","https://s3.amazonaws.com/photos.angel.co/startups/i/79624-f321f4eb50341a8d7ba6b723377ad31a-medium_jpg.jpg?buster=1336687765"
